word,definitionUrl,partOfSpeech,cefrLevel,americanPronUrl,britishPronUrl
accomplishment,/definition/english/accomplishment,noun,c1,/media/english/us_pron/a/acc/accom/accomplishment__us_1.mp3,/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3
accordance,/definition/english/accordance,noun,c1,/media/english/us_pron/a/acc/accor/accordance__us_1.mp3,/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3
according to,/definition/english/according-to,preposition,a2,/media/english/us_pron/a/acc/accor/according_to_1_us_3.mp3,/media/english/uk_pron/a/acc/accor/according_to_1_gb_1.mp3
accordingly,/definition/english/accordingly,adverb,c1,/media/english/us_pron/a/acc/accor/accordingly__us_1.mp3,/media/english/uk_pron/a/acc/accor/accordingly__gb_1.mp3
account,/definition/english/account_1,noun,b1,/media/english/us_pron/a/acc/accou/account__us_1.mp3,/media/english/uk_pron/a/acc/accou/account__gb_1.mp3
account,/definition/english/account_2,verb,b2,/media/english/us_pron/a/acc/accou/account__us_1.mp3,/media/english/uk_pron/a/acc/accou/account__gb_1.mp3
accountability,/definition/english/accountability,noun,c1,/media/english/us_pron/a/acc/accou/accountability__us_1.mp3,/media/english/uk_pron/a/acc/accou/accountability__gb_1.mp3
accountable,/definition/english/accountable,adjective,c1,/media/english/us_pron/a/acc/accou/accountable__us_1.mp3,/media/english/uk_pron/a/acc/accou/accountable__gb_2.mp3
accountant,/definition/english/accountant,noun,b2,/media/english/us_pron/a/acc/accou/accountant__us_1.mp3,/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3
accounting,/definition/english/accounting,noun,b2,/media/english/us_pron/a/acc/accou/accounting__us_1.mp3,/media/english/uk_pron/a/acc/accou/accounting__gb_1.mp3
accumulate,/definition/english/accumulate,verb,c1,/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3,/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3
accumulation,/definition/english/accumulation,noun,c1,/media/english/us_pron/a/acc/accum/accumulation__us_1.mp3,/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3
accuracy,/definition/english/accuracy,noun,b2,/media/english/us_pron/a/acc/accur/accuracy__us_1.mp3,/media/english/uk_pron/a/acc/accur/accuracy__gb_1.mp3
accurate,/definition/english/accurate,adjective,b2,/media/english/us_pron/a/acc/accur/accurate__us_1.mp3,/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3
accurately,/definition/english/accurately,adverb,b2,/media/english/us_pron/a/acc/accur/accurately__us_1.mp3,/media/english/uk_pron/a/acc/accur/accurately__gb_1.mp3
accusation,/definition/english/accusation,noun,c1,/media/english/us_pron/a/acc/accus/accusation__us_1.mp3,/media/english/uk_pron/a/acc/accus/accusation__gb_1.mp3
accuse,/definition/english/accuse,verb,b2,/media/english/us_pron/a/acc/accus/accuse__us_2.mp3,/media/english/uk_pron/a/acc/accus/accuse__gb_1.mp3
accused,/definition/english/the-accused,noun,c1,/media/english/us_pron/a/acc/accus/accused__us_1.mp3,/media/english/uk_pron/a/acc/accus/accused__gb_1.mp3
achieve,/definition/english/achieve,verb,a2,/media/english/us_pron/a/ach/achie/achieve__us_2.mp3,/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3
achievement,/definition/english/achievement,noun,b1,/media/english/us_pron/a/ach/achie/achievement__us_1.mp3,/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3
acid,/definition/english/acid_2,adjective,c1,/media/english/us_pron/a/aci/acid_/acid__us_1.mp3,/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3
acid,/definition/english/acid_1,noun,b2,/media/english/us_pron/a/aci/acid_/acid__us_1.mp3,/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3
acknowledge,/definition/english/acknowledge,verb,b2,/media/english/us_pron/a/ack/ackno/acknowledge__us_1.mp3,/media/english/uk_pron/a/ack/ackno/acknowledge__gb_2.mp3
acquire,/definition/english/acquire,verb,b2,/media/english/us_pron/a/acq/acqui/acquire__us_2.mp3,/media/english/uk_pron/a/acq/acqui/acquire__gb_2.mp3
acquisition,/definition/english/acquisition,noun,c1,/media/english/us_pron/a/acq/acqui/acquisition__us_1.mp3,/media/english/uk_pron/a/acq/acqui/acquisition__gb_1.mp3
acre,/definition/english/acre,noun,c1,/media/english/us_pron/a/acr/acre_/acre__us_1.mp3,/media/english/uk_pron/a/acr/acre_/acre__gb_1.mp3
across,/definition/english/across_2,adverb,a1,/media/english/us_pron/a/acr/acros/across__us_1.mp3,/media/english/uk_pron/a/acr/acros/across__gb_1.mp3
across,/definition/english/across_1,preposition,a1,/media/english/us_pron/a/acr/acros/across__us_1.mp3,/media/english/uk_pron/a/acr/acros/across__gb_1.mp3
act,/definition/english/act_2,noun,b1,/media/english/us_pron/a/act/act__/act__us_2.mp3,/media/english/uk_pron/a/act/act__/act__gb_2.mp3
act,/definition/english/act_1,verb,a2,/media/english/us_pron/a/act/act__/act__us_2.mp3,/media/english/uk_pron/a/act/act__/act__gb_2.mp3
action,/definition/english/action_1,noun,a1,/media/english/us_pron/a/act/actio/action__us_2.mp3,/media/english/uk_pron/a/act/actio/action__gb_1.mp3
activate,/definition/english/activate,verb,b2,/media/english/us_pron/a/act/activ/activate__us_1.mp3,/media/english/uk_pron/a/act/activ/activate__gb_1.mp3
activation,/definition/english/activation,noun,c1,/media/english/us_pron/a/act/activ/activation__us_1.mp3,/media/english/uk_pron/a/act/activ/activation__gb_1.mp3
active,/definition/english/active_1,adjective,a2,/media/english/us_pron/a/act/activ/active__us_2.mp3,/media/english/uk_pron/a/act/activ/active__gb_2.mp3
activist,/definition/english/activist,noun,c1,/media/english/us_pron/a/act/activ/activist__us_1.mp3,/media/english/uk_pron/a/act/activ/activist__gb_1.mp3
activity,/definition/english/activity,noun,a1,/media/english/us_pron/a/act/activ/activity__us_4.mp3,/media/english/uk_pron/a/act/activ/activity__gb_5.mp3
actor,/definition/english/actor,noun,a1,/media/english/us_pron/a/act/actor/actor__us_2.mp3,/media/english/uk_pron/a/act/actor/actor__gb_2.mp3
actress,/definition/english/actress,noun,a1,/media/english/us_pron/a/act/actre/actress__us_2.mp3,/media/english/uk_pron/a/act/actre/actress__gb_1.mp3
actual,/definition/english/actual,adjective,b2,/media/english/us_pron/a/act/actua/actual__us_1_rr.mp3,/media/english/uk_pron/a/act/actua/actual__gb_1.mp3
actually,/definition/english/actually,adverb,a2,/media/english/us_pron/a/act/actua/actually__us_1_rr.mp3,/media/english/uk_pron/a/act/actua/actually__gb_5.mp3
acute,/definition/english/acute,adjective,c1,/media/english/us_pron/a/acu/acute/acute__us_1.mp3,/media/english/uk_pron/a/acu/acute/acute__gb_1.mp3
ad,/definition/english/ad_1,noun,b1,/media/english/us_pron/a/ad_/ad__u/ad__us_2.mp3,/media/english/uk_pron/a/ad_/ad__g/ad__gb_2.mp3
adapt,/definition/english/adapt,verb,b2,/media/english/us_pron/a/ada/adapt/adapt__us_1.mp3,/media/english/uk_pron/a/ada/adapt/adapt__gb_2.mp3
adaptation,/definition/english/adaptation,noun,c1,/media/english/us_pron/a/ada/adapt/adaptation__us_1.mp3,/media/english/uk_pron/a/ada/adapt/adaptation__gb_1.mp3
add,/definition/english/add_1,verb,a1,/media/english/us_pron/a/add/add__/add__us_2.mp3,/media/english/uk_pron/a/add/add__/add__gb_2.mp3
addiction,/definition/english/addiction,noun,b2,/media/english/us_pron/a/add/addic/addiction__us_1.mp3,/media/english/uk_pron/a/add/addic/addiction__gb_1.mp3
addition,/definition/english/addition,noun,b1,/media/english/us_pron/a/add/addit/addition__us_2.mp3,/media/english/uk_pron/a/add/addit/addition__gb_1.mp3
additional,/definition/english/additional,adjective,b2,/media/english/us_pron/a/add/addit/additional__us_3.mp3,/media/english/uk_pron/a/add/addit/additional__gb_1.mp3
additionally,/definition/english/additionally,adverb,b2,/media/english/us_pron/a/add/addit/additionally__us_1.mp3,/media/english/uk_pron/a/add/addit/additionally__gb_1.mp3
address,/definition/english/address_1,noun,a1,/media/english/us_pron/a/add/addre/address__us_2_rr.mp3,/media/english/uk_pron/a/add/addre/address__gb_3.mp3
address,/definition/english/address_2,verb,b2,/media/english/us_pron/a/add/addre/address__us_2_rr.mp3,/media/english/uk_pron/a/add/addre/address__gb_3.mp3
adequate,/definition/english/adequate,adjective,b2,/media/english/us_pron/a/ade/adequ/adequate__us_1.mp3,/media/english/uk_pron/a/ade/adequ/adequate__gb_3.mp3
adequately,/definition/english/adequately,adverb,b2,/media/english/us_pron/a/ade/adequ/adequately__us_1.mp3,/media/english/uk_pron/a/ade/adequ/adequately__gb_1.mp3
adhere,/definition/english/adhere,verb,c1,/media/english/us_pron/a/adh/adher/adhere__us_1.mp3,/media/english/uk_pron/a/adh/adher/adhere__gb_1.mp3
adjacent,/definition/english/adjacent,adjective,c1,/media/english/us_pron/a/adj/adjac/adjacent__us_1.mp3,/media/english/uk_pron/a/adj/adjac/adjacent__gb_1.mp3
adjust,/definition/english/adjust,verb,b2,/media/english/us_pron/a/adj/adjus/adjust__us_1.mp3,/media/english/uk_pron/a/adj/adjus/adjust__gb_2.mp3
adjustment,/definition/english/adjustment,noun,c1,/media/english/us_pron/a/adj/adjus/adjustment__us_1.mp3,/media/english/uk_pron/a/adj/adjus/adjustment__gb_1.mp3
administer,/definition/english/administer,verb,c1,/media/english/us_pron/a/adm/admin/administer__us_1.mp3,/media/english/uk_pron/a/adm/admin/administer__gb_2.mp3
administration,/definition/english/administration,noun,b2,/media/english/us_pron/a/adm/admin/administration__us_1.mp3,/media/english/uk_pron/a/adm/admin/administration__gb_2.mp3
administrative,/definition/english/administrative,adjective,c1,/media/english/us_pron/a/adm/admin/administrative__us_1_rr.mp3,/media/english/uk_pron/a/adm/admin/administrative__gb_1.mp3
administrator,/definition/english/administrator,noun,c1,/media/english/us_pron/a/adm/admin/administrator__us_1.mp3,/media/english/uk_pron/a/adm/admin/administrator__gb_1.mp3
admire,/definition/english/admire,verb,b1,/media/english/us_pron/a/adm/admir/admire__us_1.mp3,/media/english/uk_pron/a/adm/admir/admire__gb_1.mp3
admission,/definition/english/admission,noun,c1,/media/english/us_pron/a/adm/admis/admission__us_1.mp3,/media/english/uk_pron/a/adm/admis/admission__gb_1.mp3
admit,/definition/english/admit,verb,b1,/media/english/us_pron/a/adm/admit/admit__us_2.mp3,/media/english/uk_pron/a/adm/admit/admit__gb_1.mp3
adolescent,/definition/english/adolescent_1,noun,c1,/media/english/us_pron/a/ado/adole/adolescent__us_1.mp3,/media/english/uk_pron/a/ado/adole/adolescent__gb_1.mp3
adopt,/definition/english/adopt,verb,b2,/media/english/us_pron/a/ado/adopt/adopt__us_1.mp3,/media/english/uk_pron/a/ado/adopt/adopt__gb_1.mp3
adoption,/definition/english/adoption,noun,c1,/media/english/us_pron/a/ado/adopt/adoption__us_1.mp3,/media/english/uk_pron/a/ado/adopt/adoption__gb_1.mp3
